Well,Depth_ft,Silica_pct,Detritus_pct,Phase,DetritusGroup,HLD,HLD_StdDev,XRD,Perm_Kair_md,POR_he_pct,GrainDensity_gcc,TOC_pct,Quality,UCS_MPa_Lee
548D1-35,809.63,32.02,67.98,opal-A,high,328.0,20.0,N,,,,,poor,14.41178126
548D1-35,809.7,29.18,70.82,opal-A,high,325.0,24.0,N,,,,,very good,14.10307251
548D1-35,811.24,26.72,73.28,opal-A,high,304.0,24.0,N,,,,,very good,12.49961
548D1-35,811.34,24.96,75.04,opal-A,high,303.0,,N,,,,,very good,12.43762329
548D1-35,811.37,27.22,72.78,opal-A,high,300.0,11.0,N,,,,,very good,12.18768499
548D1-35,811.4,22.18,77.82,opal-A,high,306.0,15.0,N,,,,,very good,12.62843497
548D1-35,811.44,25.17,74.83,opal-A,high,303.0,12.0,N,,,,,very good,12.45567092
548D1-35,811.47,27.14,72.86,opal-A,high,303.0,8.0,N,,64.6,2.47,,very good,12.41060086
548D1-35,811.5,23.26,76.74,opal-A,high,313.0,21.0,N,,64.6,2.47,,very good,13.16941958
548D1-35,811.53,26.58,73.42,opal-A,high,300.0,12.0,N,,,,,very good,12.18768499
548D1-35,811.57,27.58,72.42,opal-A,high,302.0,8.0,N,,,,,very good,12.35673199
548D1-35,811.6,24.47,75.53,opal-A,high,308.0,11.0,N,,,,,very good,12.77577775
548D1-35,811.8,25.01,74.99,opal-A,high,304.0,10.0,N,,,,,very good,12.50090467
548D1-35,811.83,24.46,75.54,opal-A,high,304.0,12.0,N,,,,,very good,12.47891351
548D1-35,811.86,23.78,76.22,opal-A,high,320.0,19.0,N,,,,,very good,13.72646903
548D1-35,811.89,27.21,72.79,opal-A,high,319.0,16.0,N,,,,,very good,13.61320532
548D1-35,811.93,26.99,73.01,opal-A,high,314.0,25.0,N,,,,,very good,13.24739614
548D1-35,811.96,30.53,69.47,opal-A,high,334.0,32.0,N,,,,,very good,14.85306164
548D1-35,811.99,22.91,77.09,opal-A,high,323.0,16.0,N,,,,,very good,13.99056478
548D1-35,812.03,24.34,75.66,opal-A,high,316.0,18.0,N,,,,,very good,13.44505969
548D1-35,812.06,25.39,74.61,opal-A,high,312.0,18.0,N,,,,,very good,13.07880109
548D1-35,812.09,28.36,71.64,opal-A,high,320.0,14.0,N,,,,,very good,13.68671994
548D1-35,812.12,29.46,70.54,opal-A,high,337.0,20.0,N,,,,,very good,15.13789216
548D1-35,812.16,25.01,74.99,opal-A,high,326.0,10.0,N,,,,,very good,14.18168035
548D1-35,812.19,27.27,72.73,opal-A,high,331.0,18.0,N,,,,,very good,14.58839012
548D1-35,812.29,25.28,74.72,opal-A,high,311.0,19.0,N,,,,,poor,13.02832737
548D1-35,813.78,30.26,69.74,opal-A,high,324.0,16.0,N,,,,,very good,14.03846434
548D1-35,813.81,28.51,71.49,opal-A,high,327.0,21.0,N,,,,,very good,14.25383531
548D1-35,813.85,29.59,70.41,opal-A,high,317.0,30.0,N,,,,,very good,13.5190664
548D1-35,813.88,33.77,66.23,opal-A,high,322.0,16.0,N,,,,,very good,13.89669463
548D1-35,813.91,28.52,71.48,opal-A,high,340.0,21.0,N,,,,,very good,15.40359641
548D1-35,813.94,30.64,69.36,opal-A,high,323.0,9.0,N,,,,,very good,13.94042206
548D1-35,813.98,37.35,62.65,opal-A,high,328.0,13.0,N,,,,,very good,14.39924846
548D1-35,814.01,34.61,65.39,opal-A,high,326.0,6.0,N,,,,,very good,14.22434007
548D1-35,814.04,34.35,65.65,opal-A,high,324.0,10.0,N,,,,,very good,14.00796386
548D1-35,814.08,35.3,64.7,opal-A,high,324.0,11.0,N,,,,,very good,14.00796386
